id,distrito_id,codigo,barrio
3515,294,05,Getsemaní (parte)
3516,294,06,Palmar (parte).
3517,295,01,Gallito
3518,295,02,Monte Alto
3519,295,03,Cipresal
3520,295,04,Doña Blanca
3521,295,05,Doña Elena
3522,295,06,Higuerón
3523,295,07,Huacalillo
3524,295,08,El Collado
3525,295,09,Meseta
3526,295,10,Paso Llano
3527,295,11,Plan de Birrí
3528,295,12,Porrosatí
3529,295,13,Roblealto
3530,295,14,Sacramento
3531,295,15,San Martín
3532,295,16,San Miguel
3533,295,17,Santa Clara
3534,295,18,Zapata.
3535,296,01,Barro de Olla
3536,296,02,Calle Don Pedro
3537,296,03,Quintana
3538,296,04,Yurusti.
3539,297,01,Canoa (parte)
3540,297,02,Castilla
3541,297,03,Cuesta Rojas
3542,297,04,Montero
3543,297,05,Socorro
3544,297,06,Villa Rossi.
3545,298,01,Represa.
3546,299,01,Barquero
3547,299,02,Higinia
3548,299,03,Pacífica.
3549,300,01,La Cooperativa
3550,300,02,Pedro León
3551,300,03,Primero de Mayo
3552,300,04,Quisqueya
3553,300,05,Rinconada
3554,300,06,Valencia (parte).
3555,301,01,Calle Vieja
3556,301,02,Lourdes
3557,301,03,Quebradas (parte).
3558,302,01,Caballero.
3559,302,02,Canoa (parte).
3560,303,01,Trompezón.
3561,304,01,Betania
3562,304,02,Rosales (parte).
3563,305,01,Cinco Esquinas
3564,305,02,Lotes Moreira
3565,305,03,San Juan Arriba
3566,306,01,Altagracia
3567,306,02,Birrí
3568,306,03,Calle Quirós (parte)
3569,306,04,Catalina
3570,306,05,Común (parte)
3571,306,06,Cuesta Colorada
3572,306,07,Guachipelines
3573,306,08,Guaracha
3574,306,09,Ulises.
3575,307,01,Amapola
3576,307,02,Cartagos
3577,307,03,Chagüite
3578,307,04,Giralda
3579,307,05,Guararí
3580,307,06,Tranquera.
3581,308,01,Marías
3582,308,02,Purabá
3583,308,03,San Bosco.
3584,308,04,Calle Quirós (parte)
3585,308,05,Común (parte)
3586,308,06,Lajas.
3587,309,01,Amistad
3588,309,02,Matasano (parte)
3589,309,03,Paso Viga (parte).
3590,310,01,Bajo Molinos
3591,310,02,Joya
3592,310,03,Matasano (parte)
3593,310,04,Peralta
3594,310,05,Santísima Trinidad.
3595,311,01,Jardines de Roma
3596,311,02,Jardines Universitarios
3597,311,03,Suiza.
3598,312,01,Paso Viga (parte)
3599,312,02,Saca.
3600,312,03,Calle Hernández (parte)
3601,312,04,Castillo
3602,312,05,Cerro Redondo
3603,312,06,Getsemaní (parte)
3604,312,07,Joaquina
3605,312,08,Lobos
3606,312,09,Montecito
3607,312,10,Palmar (parte)
3608,312,11,Puente Piedra (parte)
3609,312,12,Quintanar de la Sierra
3610,312,13,Uvita.
3611,313,01,Palenque
3612,313,02,Anonos
3613,313,03,Burial
3614,313,04,Calle Chávez (parte)
3615,313,05,Calle Hernández (parte)
3616,313,06,Ciénagas
3617,313,07,Charquillo
3618,313,08,Mora
3619,313,09,Pilas
3620,313,10,Puente Piedra (parte)
3621,313,11,Tierra Blanca (parte)
3622,313,12,Turú.
3623,314,01,Calle Cementerio
3624,314,02,Colonia Isidreña
3625,314,03,Cooperativa
3626,314,04,Cristo Rey
3627,314,05,El Volador
3628,314,06,Villaval.
3629,315,01,Santa Cruz.
3630,315,02,El Arroyo
3631,315,03,Huacalillos
3632,315,04,Santa Cecilia (parte)
3633,315,05,Santa Elena
3634,315,06,Trapiche
3635,315,07,Yerbabuena.
3636,316,01,Alhajas
3637,316,02,Calle Caricias
3638,316,03,Calle Chávez (parte)
3639,316,04,Santa Cecilia
3640,317,01,Aguacate
3641,317,02,Astillero
3642,317,03,Quebradas (parte)
3643,317,04,Rinconada
3644,317,05,Tierra Blanca (parte)
3645,317,06,Vallevistar
3646,317,07,Viento Fresco.
3647,318,01,Chompipes (parte)
3648,318,02,Escobal
3649,318,03,Labores (parte)
3650,318,04,San Vicente
3651,318,05,Zaiquí.
3652,319,01,Fuente
3653,319,02,Labores (parte)
3654,319,03,Vista Linda
3655,319,04,Cristo Rey (parte).
3656,319,05,Echeverría (parte).
3657,320,01,Arbolito
3658,320,02,Bonanza
3659,320,03,Bosques de Doña Rosa
3660,320,04,Cariari (parte)
3661,320,05,Chompipes (parte)
3662,320,06,Cristo Rey (parte).
3663,321,01,Campanario
3664,321,02,Joaquineños
3665,321,03,Luisiana
3666,321,04,Santa Marta
3667,321,05,Trinidad
3668,321,06,Villa Lico
3669,321,07,Villa María.
3670,322,01,Barrantes
3671,322,02,Ugalde.
3672,323,01,Ángeles
3673,323,02,Año 2000
3674,323,03,Cristo Rey (parte)
3675,323,04,Geranios
3676,323,05,Las Hadas
3677,323,06,Santa Elena
3678,323,07,Siglo Veintiuno.
3679,323,08,Echeverría (parte).
3680,324,01,Acapulco
3681,324,02,Amada
3682,324,03,Asovigui
3683,324,04,Colonial
3684,324,05,Cruces
3685,324,06,Doña Nina
3686,324,07,Irazú
3687,324,08,Irma
3688,324,09,July
3689,324,10,María Auxiliadora (parte)
3690,324,11,Nueva Jerusalén
3691,324,12,Pastoras
3692,324,13,Puebla (parte)
3693,324,14,Santa Isabel
3694,324,15,Villa Cortés
3695,324,16,Villa Dolores
3696,324,17,Villa Quintana
3697,324,18,Uriche
3698,324,19,Uruca.
3699,324,20,Corobicí
3700,324,21,Estrella
3701,324,22,Rincón de Ricardo
3702,324,23,Santa Fe.
3703,325,01,Colina
3704,325,02,Esperanza
3705,325,03,Jardín
3706,325,04,Loma Linda
3707,325,05,Progreso.
3708,325,06,Achiote
3709,325,07,Ahogados
3710,325,08,Arbolitos (parte)
3711,325,09,Arrepentidos
